Course Name,Course Code,Lecture Time,Tutorial Time,Lab Time,Credit
Structure and Defects of Materials,MSE 629,"I1,I2",,,4
Characterization of Materials,MSE 632,"A1,A2",,"J1,L1",4
Chemistry Laboratory,CH 202,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2",2
Electrochemical Science and Engineering,CH 302,"L1,L2",J2,,4
Food Chemistry,CH 401,"J1,J2",M1,,4
Physical Organic Chemistry,CH 506,"A1,A2",,,4
Organometallic and Bioinorganic Chemistry,CH 508,"P1,P2",,,4
Main Group and Transition Metal Chemistry,CH 510,"A1,A2",,,4
Quantum Chemistry,CH 511,"I1,I2",,,4
Advanced Organic Chemistry,CH 513,"G1,G2",,,4
Inorganic Chemistry Laboratory,CH 522,,,"K1,H1",2
Organic Chemistry Laboratory,CH 523,,,"L1,N1",2
Applied Chemical Biology,CH 616,"B1,B2",,,4
Interpretative Organic Spectroscopy,CH 622,"C1,C2",,,4
Asymmetric Synthesis and Catalysis,CH 626,"C1,C2",,,4
Introduction to Molecular Dynamics,CH 634,M2,,"M1,L2",4
Chemical Crystallography,CH 635,"J1,J2",,N2,4
Statistical Thermodynamics and its Applications in Chemistry,CH 636,"L1,L2",,,4
Basic Algebra,MA 501,"C1,C2",G2,,4
Introduction to Linear Algebra,MA 504,"B1,B2",M1,,4
Topics in Real Analysis,MA 509,"A1,A2",M2,,4
Topology,MA 510,"L1,L2",G1,,4
"Applied Linear Algebra, Probability and Statistics",MA 601,"E1,E2",G1,,4
Commutative Algebra,MA 605,"A1,A2",,,4
Partial Differential Equations,MA 624,"D1,D2",J2,,4
Functional Analysis,MA 626,"K1,K2",H2,,4
Algebraic Topology,MA 627,"I1,I2",,,4
Probability Theory,MA 630,"F1,F2",,,4
Algebraic Number Theory,MA 634,"J1,J2",,,4
Matrix Lie Groups,MA 638,"P1,P2",,,4
Introduction to Inverse Modelling in Physical Sciences,ES 410,"F1,F2",,,4
Mathematical Methods of Physics - I,PH 502,"E1,E2",H1,,4
Quantum Mechanics I,PH 503,"F1,F2",M1,,4
Classical Electrodynamics,PH 505,"A1,A2",G2,,4
Classical Mechanics,PH 508,"B1,B2",,,4
Condensed Matter Physics,PH 510,"I1,I2",G1,,4
Topics in Classical Mechanics and Electrodynamics,PH 605,"P1,P2",,,4
Introduction to Einstein’s Theory of General Relativity,PH 609,"N1,N2",M2,,4
Quantum Field Theory I,PH 610,"E1,E2",,,4
X-ray Scattering: Concepts and Applications,PH 611,"I1,I2",,,4
Atomic and Molecular Physics,PH 614,"D1,D2",,,4
Topics in Soft and Active Matter Physics,PH 645,"K1,K2",,,4
Advanced Statistical Physics,PH 646,"C1,C2",,,4
Earth Surface Processes in the Anthropocene,EH 601,"P1,P2",,J1,4
Modeling of Earth System and Sustainability,EH 605,"L1,L2",,,4
Biodiversity Conservation and Sustainable Development.,EH 608,"M1,M2",,,4
Physics of the Lithosphere,EH 614,"J1,J2",,,4
Sequence Stratigraphy,EH XXX,P2,,"J2,M2",4
Geodynamic Modelling Lab,EH xxx,,,"D1,G1,D2,F2",4
Microwave Remote Sensing,EH xxx,"L1,L2",,,4
Computation and Cognition,CG 501,"C1,C2",,,4
Fundamentals of Cognitive Psychology,CG 503,"F1,F2",,,4
Research Methods in Cognitive Science,CG 504,"B1,B2",,,4
Fundamental Neuroscience,CG 505,"I1,I2",,,4
Perception and Attention,CG 603,"G1,G2",,,4
Philosophy of Mind,CG 606,"E1,E2",,,4
Neural Plasticity,CG 612,"F1,F2",,,4
Special Topics in Cognitive Science: Brain Imaging Methods,CG 691-III,"D1,D2",,,4
Special Topics in Cognitive Science: Language and Brain,CG xxx,"M1,M2",,,4
Writing (PG),FP 602,F1,,"D1,D2",4
Ancient Indian Technologies,IN 304,"N1,N2",,,4
Urdu Script & Poetry,HS 111,"K1,K2",J1,,4
Urdu Poetry Interpretation,HS 112,"P1,P2",G1,,4
Special Topics in HSS: Mandarin for Beginners,HS 191-I,"N1,N2",,,4
Special Topics in HSS: Mandarin for Beginners 2,HS 191-III,"L1,L2",,,4
Special Topics in HSS: Japanese Language for Beginners,HS 191-IV,"D1,D2",,,4
Financial Considerations in Engineering Decisions,MS 408,"P1,P2",,,4
Introduction to Archaeology,HS 425,"I1,I2",,,4
Special Topics: Foundations of User Experience,IN 491,"N1,N2",,,4
Special topics in Management: Marketing Analytics,MS 491,"P1,P2",,,4
"Special Topics in HSS: Cinematic Foundations: Understanding the Language of Cinema
(First Half of Semester)",HS 492-VIII,"N1,N2",,,2
Special Topics in HSS: Moments of Change: Vision Stories of Hopeful Futures,HS 492-IX,"L1,N1,N2",,,2
Special Topics in HSS: Drawing Connections: Environmental Perception and Visual Anthropology,HS 491-XIII,"N1,N2",,,4
Special Topics in Management: Product Management,MS 491-I,"P1,P2",,,4
Special Topics in Management: Business Strategy,MS 491-XI,"D1,D2",,,4
Special Topics in Management: Business Ethics and Responsible Leadership,MS 492-IV,"L1,L2",,,2
Perspectives of Indian Civilisation,HS 510,"E1,E2",,,4
Literary Experiment in European Modernism,HS 517 ,"I1,I2",,,4
Ancient Indian Architecture,HS 520,"M1,M2",,,4
Qualitative Research Methods,HS 524,"C1,C2",,,4
Special Topics in HSS: Introduction to the Learning Sciences,HS 591-VI,"J1,J2",,,4
Visual Design for Academia,DES 601,L1,,"K2,L2",4
Critical Journey through Select Thoughts and Theories,HS 610,"K1,K2",,,4
Scarred Nations : Partition in the Indian Subcontinent,HS 633,"J1,J2",,,4
Public Policy and its Impact Evaluation,HS 649,"M1,M2",J1,,4
Critical Perspectives in Sociology,HS 651,"B1,B2",,,4
"Reading Philosophy: Classical, Contemporary and Global Perspectives",HS 652,"A1,A2",,,4
Mixed Methods in Research,HS 654,"N1,N1",,,2
Special Topics in Design: Design for Discretive Needs,DES 691,"P1,P2",,,4
Special Topics in Design: Designing Learning Environments for Science and Engineering ,DES 691-II,"P1,P2",,,4
Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,HS 491-XI,"M1,M2",,,4
Academic Communication: Argumentation and Reasoning (Half-semester),HS xxx,"P1,P2",,,2
Semiotic Anthropology (Special Topics),HS 691-VIII,"M1,M2",,,4
