Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,,,,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
CE 605,Remote Sensing of Land and Water Resources,3,0,0,4,Vimal Mishra(I),,,,"M1,M2
(7/206)",,,,,,,
CE 615,Structural Design for Fire,3,0,0,4,Gaurav Srivastava(I),,,,"M1,M2
 (7/210)",,,,,,,
CE 628,Applied Hydraulic Transients,3,0,0,4,Pranab Mohapatra(I),,,,"J1,J2
 (7/101)",,,,,,,
CE 629,Geosynthetics,3,0,0,4,G.V.Rao(I),,,,"K1,K2
 (7/102)",,,,,,,
CE 632,Advanced Concrete Design,3,0,0,4,Dhiman Basu(I),,,,"K1,K2
 (7/210)",,,,,,,
CE 636,Traffic and Roadway Engineering,3,0,0,4,Sushobhan Sen(I),,,,"F1,F2
 (7/203)",,,CE 636 2024-25 Sem II Syllabus.docx,,,,
CE 691-I,Special Topics in Civil Engineering: Design for Dynamic Loads,3,0,0,4,Manish Kumar(I),,,,"I1,I2
 (7/210)",,,,,,,
CE 691-V,Special Topics in Civil Engineering: Geotechnical Infrastructure Projects,3,0,0,4,SR Gandhi(I),,,,"N1,N2
(7/207)",,,,,,,
CE 691-VII,Special Topics in Civil Engineering: Engineering practices in Drinking Water Treatment,3,0,0,4,Sudhir Kumar Arora(I),,,,"J1,J2
 (7/210)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Chemical Engineering,,,,,,,,,,,,,,,,,
CL 605,Colloidal Domain: Where Science Meets Engineering,3,0,0,4,Prachi Thareja(I),,,,"A1,A2
 (7/110)",,,,,,,
ES 617,Design of Experiments,3,0,0,4,Nitin Padhiyar(I),,,,"N1,N2
 (10/102)",,,https://docs.google.com/spreadsheets/d/1FotH5wSgtFt2A8RnaTbQV-oKGFuGlk0H7mtDbkTgECk/edit?gid=0#gid=0,,,,
CL 627,Particulate Solids: Processing & Surface Engineering,3,0,0,4,Chinmay Ghoroi(I),,,,"K1,K2
 (7/201)",,,,,,,
CL 629,Fundamentals of Aerosol Science,3,0,0,4,Sameer Patel(I),,,,"N1,N2
 (7/104)",,,,,,,
CL 628,Liquid State Theory,3,1,0,4,Kaustubh Rane(I+T),,,,"C1,C2
 (7/201)","H2
 (7/206)",,,,,,
CL 630,Catalyst Design for Heterogeneous Reactions,3,0,0,4,Abinaya Sampath(I),,,,"P1,P2
 (7/205)",,,Course plan,,,,
CL 631,Pharmaceutical Crystallization,3,0,0,4,Sameer Dalvi(I),,,,"L1,L2
(7/106)",,,,,,,
ES 658,Molecular Simulations – Theory and Applications,3,1,0,4,Mithun Radhakrishna(I+T),,,,"J1,J2
 (7/109)","H1
 (7/108)",,,,,,
,,,,,,,,,,,,,,,,,
Additional Courses: Chemistry,,,,,,,,,,,,,,,,,
CH 203,Fundamentals and Applications of Spectroscopy,3,0,0,4,Saumya Khatua(I),,,,"L1,L2
 (7/104)",,,,,,,BS
CH 512,Reactions and Mechanisms in Organic Chemistry,3,0,0,4,Chandrakumar Appayee(I),,,,"D1,D2
 (7/201)",,,Course Plan,,,,BS
CH 524,Analytical and Computational Chemistry Laboratory,0,0,3,2,Anirban Mondal(L),,,,,,"K1,H1
(7/109)",,,,,BS
CH 525,Physical Chemistry Laboratory,0,0,3,2,Biswajit Mondal(L),,,,,,"J1,L1,N1
(CH Lab)",,,,,BS
CH 526,Group Theory & Spectroscopy,3,0,0,4,Partha Pratim Roy(I),,,,"B1,B2
(7/107)",,,,,,,
CH 527,Organometallic Chemistry,3,0,0,4,Iti Gupta(I),,,,"J1,J2
(11/101)",,,,,,,BS
CH 602,Chemistry of Natural Products,3,0,0,4,Sudipta Basu(I),,,,"A1,A2
 (7/201)",,,,,,,BS
CH 615,Electrochemistry,3,0,0,4,Biswajit Mondal(I),,,,"E1,E2
 (7/204)",,,,,,,BS
CH 628,Fluorescence Spectroscopy for Chemists and Biologists,3,0,0,4,Sriram Kanvah(I),,,,"K1,K2
 (7/104)",,,,,,,BS
CH 629,Medicinal Chemistry for Life,3,0,0,4,Sivapriya Kirubakaran(I),,,,"F1,F2
 (7/204)",,,,,,,BS
CH 630,Catalytic Chemistry,3,0,0,4,Sudhanshu Sharma(I),,,,"G1,G2
 (7/204)",,,,,,,BS
